EDRPOU,Name,Address,Contacts,KOATUU,Згенеровано відходів в тоннах,Відходів в одиницях Пзув,Відходи I класу,Відходи II класу,Відходи III класу,Відходи IV класу,2015_Згенеровано відходів в тоннах,2015_Відходів в одиницях Пзув,2015_Відходи I класу,2015_Відходи II класу,2015_Відходи III класу,2015_Відходи IV класу,2016_Згенеровано відходів в тоннах,2016_Відходів в одиницях Пзув,2016_Відходи I класу,2016_Відходи II класу,2016_Відходи III класу,2016_Відходи IV класу,2017_Згенеровано відходів в тоннах,2017_Відходів в одиницях Пзув,2017_Відходи I класу,2017_Відходи II класу,2017_Відходи III класу,2017_Відходи IV класу,2018_Згенеровано відходів в тоннах,2018_Відходів в одиницях Пзув,2018_Відходи I класу,2018_Відходи II класу,2018_Відходи III класу,2018_Відходи IV класу,2019_Згенеровано відходів в тоннах,2019_Відходів в одиницях Пзув,2019_Відходи I класу,2019_Відходи II класу,2019_Відходи III класу,2019_Відходи IV класу
40075815,"Акціонерне товариство ""Українська залізниця"" (регіональна філія ""Південна залізниця"" виробничий підрозділ ""Харківська дистанція захисних лісонасаджень"")","03680, м.Київ, вул.Тверська, 5",/057-724-12-16,6310137200,50361.61300000005,268266.60770000005,26.794200000000046,146.1897999999999,224.73630000000014,49963.89269999999,1542.247,83.238,0.249,0.428,0.013999999999999999,82.54700000000001,29758.111500000006,6383.891000000001,3.1207,13.912299999999998,16.971500000000006,6349.886500000001,82834.36239999995,15775.147500000005,8.018699999999997,47.238500000000016,69.42290000000003,15650.467400000005,92480.79879999998,16331.13380000001,9.344099999999996,51.107000000000006,80.32890000000002,16190.3538,61651.088,11788.202700000005,6.0616999999999965,33.50400000000001,57.99900000000001,11690.638
00131954,"Акціонерне товариство ""Харківобленерго""","61037, м. Харків, Слобідський район, вул. Плеханівська, 149",/740-14-98,6323155100,3507.272,163993.932,15.361000000000004,57.33799999999997,1124.1910000000003,2310.382,13250.528000000002,271.62880000000007,1.8908,1.39,57.81999999999999,210.528,54853.791,1080.4150000000004,4.38,20.43,442.51399999999984,613.0910000000002,58456.35100000002,1341.7082,5.3051999999999975,20.783,412.719,902.9010000000001,37433.26199999999,813.52,3.785000000000002,14.734999999999996,211.138,583.8620000000002,0.0,0.0,0.0,0.0,0.0,0.0
30019801,АТ «УКРТРАНСГАЗ» філія УМГ «КИЇВТРАНСГАЗ» Боярське ЛВУМГ КС Боярка,"01021, м. Київ, Узвіз Кловський, 9/1",ryadnovskaya-tn@utg.ua/(044)406-32-64,3222410300,8451.442599999997,137315.27389999994,11.866100000000005,121.107,185.9756,8132.493899999999,886.5920000000001,20.394499999999994,0.1145,0.529,0.609,19.142,19132.0462,1325.3432999999998,1.4309999999999998,18.559000000000005,28.4121,1276.9412,41084.29620000002,2994.0003999999994,3.5267,34.69800000000001,64.2045,2891.571199999999,45691.61650000001,2686.459400000001,4.195899999999999,38.23,60.267,2583.7665,30520.722999999984,1425.2449999999994,2.5980000000000003,29.090999999999998,32.483000000000004,1361.073
00135390,Публічне акціонерне товариство «Укрнафта»,"04053, м. Київ, провулок Несторівський, будинок 3-5",Viktor.Novostavskyi@Ukrnafta.com/272-54-56,8039100000,18906.53279999999,125412.54560000011,14.106199999999998,25.214400000000047,477.69659999999885,18389.51559999997,741.3309999999999,306.18900000000014,0.07099999999999998,0.0,1.6370000000000005,304.48100000000005,17404.103799999986,2964.233900000001,1.5579999999999998,0.8375,127.21460000000003,2834.623800000001,40014.94260000003,6320.771499999995,4.454300000000006,9.787699999999996,133.53189999999992,6172.997599999996,42588.89109999995,6067.874700000004,4.683500000000003,9.217899999999991,173.64220000000054,5880.331099999989,24663.2771,3247.463699999999,3.3394000000000004,5.371299999999996,41.67089999999994,3197.0821000000014
30487219,"ТОВ ""АТБ-маркет""(відокремлений підрозділ магазин ""Продукти-829"")","49000, Дніпропетровська область, м. Дніпро, проспект О. Поля, 40 (м.Маріуполь,вул.Карпинського,69а )",zapototskaya@atbmarket.com/+380503850287,1412336600,87697.18900000009,118945.93800000015,6.251,0.0,0.0,87690.93800000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73120.86700000001,43841.72400000003,5.856999999999998,0.0,0.0,43835.86700000002,45825.07100000003,43855.465000000026,0.39399999999999996,0.0,0.0,43855.07100000003
23744453,"ПІІ ""МАКДОНАЛЬДЗ ЮКРЕЙН ЛТД"", заклад ресторанного господарства No66","02140, м. Київ, вул. Гришка, 7",UA-00066.store@ua.mcd.com/050 353 91 52,1210137500,58680.12700000003,117947.97050000002,7.631499999999997,41.39999999999999,9.375000000000004,58621.7205,3572.061,2357.304,0.243,0.0,0.0,2357.061000000001,18149.5596,9491.5028,1.0432000000000003,6.9,0.0,9483.5596,38993.50540000002,18325.9242,2.747799999999999,13.8,0.9209999999999999,18308.45539999999,40967.09419999999,20269.3282,2.680000000000001,13.8,8.454,20244.39419999999,16265.7503,8236.067799999999,0.9175000000000004,6.9,0.0,8228.250300000003
40081195,"ВСП ""Рівненська дистанція колії"" АТ ""Українська залізниця""","м.Київ, вул.Тверська,5",ushurik@gmail.com/42 23 80,5610100000,8415.540199999998,100529.6498,11.908899999999992,63.4765,18.505,8321.649799999994,0.0,0.0,0.0,0.0,0.0,0.0,7587.533000000002,1625.5671999999995,0.26270000000000004,9.2665,0.505,1615.533,41814.944999999985,3623.250599999999,4.8165999999999976,27.989,3.0,3587.445,34850.899799999985,2289.2783999999992,4.5326,19.846,0.0,2264.899800000001,16276.272,877.444,2.297,6.375,15.0,853.7719999999997
38740702,"АЗС No 01-29 ""Берестечко""","43010, м.Луцьк, вул.Кременецька, 38, ф.а. - с.Кутрів, вул. Л.Українки, 1А Горохівського району",ruslan.yarmoshuk@wog.ua/(0332) 200984,0720883804,23447.803299999883,96947.41599999995,5.420299999999956,7.284,872.8329999999984,22562.265999999967,0.0,0.0,0.0,0.0,0.0,0.0,19180.529,3825.748700000006,1.224700000000002,1.821,169.87399999999974,3652.829,49001.93299999993,11688.497000000027,2.732000000000003,3.641999999999999,445.6899999999995,11236.433000000012,28764.954000000005,7933.55760000001,1.4635999999999967,1.821,257.2689999999997,7673.004000000003,0.0,0.0,0.0,0.0,0.0,0.0
14291113,"ТОВ СП ""НІБУЛОН"" (філія ""Куп'янська"")","54002, Миколаївська область, м. Миколаїв, Каботажний спуск,1",rizhova@nibulon.com.ua/(0512)58-04-28,6310700000,16711.468000000008,95344.02100000004,9.543999999999997,59.30199999999997,27.151,16615.471000000005,3823.616,746.045,0.237,3.679,1.1630000000000005,740.9659999999999,16904.914000000004,3217.0220000000004,1.577,11.126,5.1549999999999985,3199.164,29411.218,4851.043999999999,3.117,17.430000000000003,5.728999999999997,4824.767999999999,28225.112999999998,5205.667,2.903,16.171999999999993,8.929,5177.663000000003,16979.16,2691.69,1.7100000000000004,10.895,6.175000000000002,2672.9100000000008
40081200,ВП служби колії Корсунська дистанція колій РФ Одеська залізниця ПАТ Українська залізниця,"м. Київ, вул. Тверська, 5 (факт вул. Ярослава Мудрого, 383, м. Корсунь-Шевченківський)",pch8@ukr.net/0473531700,7122510100,4365.3392,83801.22499999998,6.744299999999996,88.73730000000006,29.412599999999987,4240.4450000000015,671.421,42.339,0.043,0.825,0.05,41.42100000000001,12007.408599999995,719.3335,0.8916000000000002,13.3731,3.2202,701.8486000000001,25118.30630000001,1636.6539,1.8922,27.262400000000003,8.543000000000001,1598.9562999999996,26182.6052,1060.6373,2.3856,25.49979999999999,9.6317,1023.1202,19821.4839,906.3755,1.5318999999999998,21.777,7.9677000000000024,875.0989
